Component_ID,Lot_ID,Component_Type,Temperature_C,Iddq_0h_uA,Iddq_24h_uA,Iddq_96h_uA,Iddq_168h_uA,Leakage_0h_uA,Leakage_24h_uA,Leakage_96h_uA,Leakage_168h_uA,Delay_0h_ns,Delay_24h_ns,Delay_96h_ns,Delay_168h_ns,Iddq_Max_Limit_uA,Leakage_Max_Limit_uA,Delay_Max_Limit_ns
IC00356,LOT16,CMOS_LOGIC,127.28,9.824,13.06,20.098,30.826,5.182,6.721,10.006,15.973,9.506,10.671,12.607,15.774,50.0,50.0,30.0
IC01736,LOT16,MICROCONTROLLER,122.24,9.202,9.54,9.715,9.827,4.912,5.032,5.252,5.467,9.507,9.569,9.639,9.761,50.0,50.0,30.0
IC01395,LOT15,MICROCONTROLLER,127.0,9.34,9.718,9.901,9.986,4.922,4.934,5.169,5.396,9.406,9.496,9.592,9.705,50.0,50.0,30.0
IC00240,LOT20,MIXED_SIGNAL_IC,126.74,9.609,9.892,10.08,10.339,5.254,5.429,5.635,5.837,9.965,10.008,10.091,10.085,50.0,50.0,30.0
IC00301,LOT01,SRAM,125.13,9.844,10.12,10.165,10.504,5.141,5.283,5.522,5.84,9.845,9.944,10.037,10.085,50.0,50.0,30.0
IC00034,LOT14,MIXED_SIGNAL_IC,129.11,9.557,9.844,9.97,10.204,4.72,4.798,5.135,5.388,9.427,9.45,9.538,9.632,50.0,50.0,30.0
IC01821,LOT01,CMOS_LOGIC,125.38,10.455,10.719,11.064,11.401,5.279,5.359,5.639,5.93,10.162,10.241,10.334,10.441,50.0,50.0,30.0
IC00924,LOT04,MIXED_SIGNAL_IC,121.9,9.497,9.68,10.168,10.496,5.225,5.414,5.507,5.926,10.32,10.321,10.442,10.492,50.0,50.0,30.0
IC01484,LOT04,SRAM,123.36,9.487,9.636,9.963,10.321,4.99,5.182,5.328,5.42,9.987,10.056,10.109,10.164,50.0,50.0,30.0
IC01108,LOT08,SRAM,120.44,9.873,10.364,10.535,10.903,5.038,5.119,5.241,5.559,10.332,10.447,10.563,10.56,50.0,50.0,30.0
IC01053,LOT13,SRAM,126.25,10.723,14.257,20.618,28.628,5.336,7.168,11.001,19.729,10.824,11.636,14.058,18.188,50.0,50.0,30.0
IC01944,LOT04,MICROCONTROLLER,125.64,10.147,10.348,10.728,10.96,4.761,4.806,5.104,5.369,10.269,10.32,10.444,10.588,50.0,50.0,30.0
IC01012,LOT12,MIXED_SIGNAL_IC,127.84,10.966,11.198,11.47,11.804,5.062,5.314,5.527,5.665,10.135,10.175,10.203,10.294,50.0,50.0,30.0
IC01855,LOT15,MICROCONTROLLER,130.04,9.143,9.479,9.672,9.975,4.812,4.884,5.036,5.311,9.833,9.973,10.107,10.141,50.0,50.0,30.0
IC01946,LOT06,SRAM,124.67,9.594,9.976,10.135,10.352,4.954,5.157,5.365,5.629,9.484,9.506,9.57,9.684,50.0,50.0,30.0
IC00351,LOT11,SRAM,124.6,8.972,8.982,9.235,9.414,4.568,4.608,4.92,5.086,9.217,9.241,9.293,9.394,50.0,50.0,30.0
IC01455,LOT15,MICROCONTROLLER,121.84,9.154,9.531,10.035,69.62,4.716,4.951,5.207,52.172,9.718,9.835,10.077,42.309,50.0,50.0,30.0
IC00370,LOT10,SRAM,123.63,10.332,10.633,10.651,10.87,4.923,5.226,5.472,5.651,9.856,9.963,10.003,10.075,50.0,50.0,30.0
IC00332,LOT12,CMOS_LOGIC,124.49,9.756,10.071,10.294,10.761,4.605,4.793,5.107,5.245,11.036,11.084,11.099,11.188,50.0,50.0,30.0
IC00928,LOT08,MIXED_SIGNAL_IC,122.61,9.725,9.918,10.07,10.328,5.001,5.19,5.366,5.703,10.43,10.44,10.47,10.667,50.0,50.0,30.0
IC01066,LOT06,CMOS_LOGIC,126.59,9.912,13.271,18.651,28.704,4.741,7.155,11.68,21.607,9.343,9.883,12.375,15.827,50.0,50.0,30.0
IC01830,LOT10,MICROCONTROLLER,128.39,11.607,11.839,12.026,12.15,5.067,5.223,5.453,5.852,10.581,10.65,10.712,10.744,50.0,50.0,30.0
IC01716,LOT16,MICROCONTROLLER,125.2,9.502,9.691,9.934,10.238,4.872,5.038,5.258,5.715,9.669,9.672,9.791,9.95,50.0,50.0,30.0
IC00130,LOT10,CMOS_LOGIC,125.23,10.41,10.751,10.901,10.936,5.012,5.109,5.287,5.659,10.086,10.116,10.217,10.308,50.0,50.0,30.0
IC01018,LOT18,MIXED_SIGNAL_IC,125.67,10.558,10.812,10.821,11.192,5.073,5.239,5.425,5.778,9.927,9.922,9.978,10.035,50.0,50.0,30.0
IC01353,LOT13,CMOS_LOGIC,122.19,10.876,11.189,11.358,11.543,5.35,5.478,5.751,6.072,9.768,9.793,9.877,9.956,50.0,50.0,30.0
IC01926,LOT06,CMOS_LOGIC,127.55,9.469,9.826,10.264,10.539,4.637,4.633,4.724,4.997,9.382,9.373,9.418,9.519,50.0,50.0,30.0
IC00647,LOT07,MICROCONTROLLER,122.64,9.249,9.664,9.998,10.263,4.687,4.887,5.232,5.428,9.146,9.263,9.32,9.49,50.0,50.0,30.0
IC01041,LOT01,CMOS_LOGIC,122.06,10.171,10.424,10.715,10.928,4.988,5.089,5.243,5.434,9.441,9.492,9.639,9.689,50.0,50.0,30.0
IC01667,LOT07,MIXED_SIGNAL_IC,122.81,9.785,10.129,10.353,10.651,4.913,5.131,5.464,5.735,8.858,8.829,8.842,8.94,50.0,50.0,30.0
IC00412,LOT12,MICROCONTROLLER,128.56,11.588,11.763,12.081,12.341,5.083,5.202,5.461,5.714,10.83,10.901,10.942,10.972,50.0,50.0,30.0
IC00339,LOT19,CMOS_LOGIC,125.99,10.229,13.567,21.827,31.131,4.758,6.204,9.206,19.021,9.952,11.095,13.671,15.869,50.0,50.0,30.0
IC01581,LOT01,MICROCONTROLLER,124.3,9.419,9.725,9.975,10.305,4.988,5.278,5.445,5.697,9.657,9.701,9.723,9.869,50.0,50.0,30.0
IC01128,LOT08,MICROCONTROLLER,124.38,9.706,13.532,21.207,31.397,5.741,7.601,13.211,22.076,10.364,11.508,13.476,16.21,50.0,50.0,30.0
IC01812,LOT12,CMOS_LOGIC,123.64,10.822,12.851,18.778,29.807,5.196,6.949,11.797,17.957,10.88,11.853,13.532,16.506,50.0,50.0,30.0
IC00247,LOT07,CMOS_LOGIC,125.87,9.504,9.543,9.882,10.234,4.847,4.959,5.198,5.332,9.159,9.251,9.317,9.376,50.0,50.0,30.0
IC00824,LOT04,MICROCONTROLLER,125.17,10.609,10.931,11.257,11.721,5.437,5.548,5.826,6.098,10.719,10.805,10.893,11.057,50.0,50.0,30.0
IC01125,LOT05,MIXED_SIGNAL_IC,126.38,9.715,10.091,10.492,10.95,4.76,4.95,5.198,5.355,9.179,9.202,9.275,9.405,50.0,50.0,30.0
IC00551,LOT11,MICROCONTROLLER,124.22,9.333,9.577,9.711,10.262,4.436,4.677,4.869,5.032,9.475,9.554,9.615,9.759,50.0,50.0,30.0
IC01851,LOT11,CMOS_LOGIC,123.66,9.064,9.252,9.646,9.939,4.302,4.384,4.605,4.877,8.932,8.972,9.097,9.22,50.0,50.0,30.0
IC01918,LOT18,MICROCONTROLLER,127.33,10.136,10.742,10.945,11.303,4.956,5.13,5.339,5.642,10.567,10.636,10.697,10.863,50.0,50.0,30.0
IC00498,LOT18,MICROCONTROLLER,128.26,10.762,11.26,11.63,11.706,4.759,4.87,5.053,5.384,10.412,10.409,10.448,10.468,50.0,50.0,30.0
IC01039,LOT19,SRAM,122.29,10.355,10.672,10.933,11.257,4.999,5.14,5.366,5.679,9.7,9.767,9.863,9.958,50.0,50.0,30.0
IC00029,LOT09,SRAM,128.37,9.497,12.319,20.43,30.832,4.832,7.31,11.629,20.377,10.367,11.142,13.835,17.257,50.0,50.0,30.0
IC00413,LOT13,SRAM,123.13,10.577,10.698,11.146,11.515,5.132,5.25,5.506,5.854,10.636,10.672,10.744,10.918,50.0,50.0,30.0
IC01822,LOT02,SRAM,126.23,11.06,11.563,11.796,12.055,5.249,5.384,5.698,6.016,10.991,11.099,11.192,11.294,50.0,50.0,30.0
IC00515,LOT15,MIXED_SIGNAL_IC,120.93,9.883,10.02,10.039,10.377,4.292,4.476,4.796,5.107,9.443,9.57,9.664,9.707,50.0,50.0,30.0
IC01674,LOT14,MIXED_SIGNAL_IC,122.59,10.25,10.662,10.907,11.463,4.993,5.15,5.306,5.589,9.339,9.402,9.527,9.649,50.0,50.0,30.0
IC00184,LOT04,MICROCONTROLLER,123.5,9.821,10.062,10.087,10.461,5.102,5.214,5.33,5.53,10.521,10.564,10.62,10.609,50.0,50.0,30.0
IC00042,LOT02,SRAM,124.5,11.326,11.628,12.08,12.419,4.849,4.986,5.244,5.317,10.568,10.627,10.738,10.764,50.0,50.0,30.0
IC00121,LOT01,MIXED_SIGNAL_IC,125.94,9.391,9.701,9.959,51.37,5.131,5.291,5.736,68.981,9.706,9.796,10.02,47.111,50.0,50.0,30.0
IC01564,LOT04,SRAM,123.75,9.377,9.616,10.054,10.335,4.823,4.988,5.207,5.584,9.774,9.801,9.872,9.967,50.0,50.0,30.0
IC01721,LOT01,SRAM,123.13,9.956,10.234,10.408,10.762,5.477,5.577,5.787,6.063,10.013,10.055,10.174,10.269,50.0,50.0,30.0
IC01061,LOT01,CMOS_LOGIC,126.81,9.931,10.094,10.437,10.896,5.165,5.341,5.505,5.759,9.552,9.619,9.695,9.749,50.0,50.0,30.0
IC00243,LOT03,MICROCONTROLLER,124.34,10.105,10.274,10.558,10.986,5.686,5.846,6.142,6.269,10.465,10.435,10.526,10.639,50.0,50.0,30.0
IC01152,LOT12,MICROCONTROLLER,128.59,10.622,11.06,11.252,11.661,5.15,5.373,5.519,5.714,10.886,10.965,11.051,11.117,50.0,50.0,30.0
IC01171,LOT11,MICROCONTROLLER,127.06,9.82,10.225,10.521,10.582,4.396,4.478,4.719,4.989,9.164,9.241,9.352,9.464,50.0,50.0,30.0
IC00066,LOT06,MIXED_SIGNAL_IC,124.53,9.506,9.758,9.964,10.285,4.812,4.854,5.121,5.333,9.37,9.425,9.52,9.594,50.0,50.0,30.0
IC00590,LOT10,MIXED_SIGNAL_IC,124.49,10.427,10.697,11.036,11.336,5.044,5.083,5.14,5.344,11.101,11.193,11.304,11.45,50.0,50.0,30.0
IC00507,LOT07,SRAM,123.0,9.829,10.395,10.539,11.014,4.787,4.882,5.117,5.438,9.454,9.385,9.501,9.67,50.0,50.0,30.0
IC01817,LOT17,MICROCONTROLLER,127.23,10.646,10.766,11.051,11.244,5.069,5.25,5.381,5.529,9.105,9.133,9.344,9.389,50.0,50.0,30.0
IC01525,LOT05,SRAM,125.82,9.408,9.912,10.06,10.311,4.959,5.033,5.128,5.375,9.747,9.808,9.908,9.973,50.0,50.0,30.0
IC00048,LOT08,MIXED_SIGNAL_IC,130.15,10.833,11.119,11.387,11.996,5.191,5.274,5.571,5.609,11.059,11.026,11.056,11.097,50.0,50.0,30.0
IC01775,LOT15,SRAM,127.99,10.039,10.256,10.382,10.812,4.744,4.91,5.138,5.535,9.965,10.042,10.218,10.322,50.0,50.0,30.0
IC01354,LOT14,CMOS_LOGIC,124.18,9.607,9.908,10.242,10.455,4.662,4.81,4.962,5.229,9.216,9.244,9.295,9.361,50.0,50.0,30.0
IC00852,LOT12,CMOS_LOGIC,126.75,10.644,10.958,11.33,63.979,5.484,5.817,6.151,71.27,11.127,11.195,11.556,38.712,50.0,50.0,30.0
IC00586,LOT06,SRAM,123.38,9.283,9.775,10.209,10.6,4.584,4.719,4.692,4.965,9.757,9.807,9.892,9.995,50.0,50.0,30.0
IC01642,LOT02,MICROCONTROLLER,124.23,10.699,10.988,11.135,11.523,5.45,5.699,5.84,5.978,10.616,10.666,10.745,10.904,50.0,50.0,30.0
IC01008,LOT08,MIXED_SIGNAL_IC,124.48,10.64,10.836,10.799,11.141,5.431,5.572,5.732,6.043,10.727,10.776,10.803,10.806,50.0,50.0,30.0
IC01850,LOT10,MIXED_SIGNAL_IC,126.76,11.116,11.666,11.874,12.395,4.973,5.119,5.313,5.492,10.445,10.552,10.612,10.807,50.0,50.0,30.0
IC00810,LOT10,CMOS_LOGIC,122.38,10.876,11.582,11.894,12.184,5.171,5.29,5.457,5.709,9.966,10.02,10.082,10.168,50.0,50.0,30.0
IC01403,LOT03,CMOS_LOGIC,124.19,9.976,10.332,10.736,11.022,5.239,5.429,5.706,5.821,10.657,10.69,10.785,10.931,50.0,50.0,30.0
IC01489,LOT09,MIXED_SIGNAL_IC,129.16,10.374,10.735,10.978,11.326,4.538,4.654,4.769,4.94,10.484,10.5,10.529,10.562,50.0,50.0,30.0
IC00664,LOT04,CMOS_LOGIC,124.15,10.304,10.656,10.984,11.228,5.084,5.153,5.45,5.703,9.766,9.894,9.978,10.086,50.0,50.0,30.0
IC01408,LOT08,SRAM,126.78,10.323,10.423,10.776,11.062,5.855,5.987,6.149,6.549,10.419,10.484,10.586,10.694,50.0,50.0,30.0
IC00059,LOT19,CMOS_LOGIC,124.12,10.402,10.789,11.013,11.433,5.134,5.3,5.498,5.799,8.943,8.986,9.065,9.137,50.0,50.0,30.0
IC01082,LOT02,SRAM,126.51,11.417,11.676,12.033,12.206,5.098,5.271,5.412,5.622,10.794,10.699,10.862,10.99,50.0,50.0,30.0
IC00670,LOT10,CMOS_LOGIC,121.7,9.737,10.154,10.448,10.567,5.016,5.163,5.322,5.598,10.673,10.691,10.73,10.726,50.0,50.0,30.0
IC01253,LOT13,CMOS_LOGIC,123.25,11.111,11.428,11.679,12.054,4.937,5.137,5.205,5.416,10.154,10.212,10.337,10.434,50.0,50.0,30.0
IC01816,LOT16,SRAM,125.4,9.503,9.682,10.029,10.632,5.088,5.32,5.429,5.663,9.536,9.557,9.6,9.757,50.0,50.0,30.0
IC00976,LOT16,CMOS_LOGIC,126.02,10.137,10.481,10.647,11.051,4.771,4.962,5.265,5.588,8.967,9.06,9.114,9.254,50.0,50.0,30.0
IC01602,LOT02,SRAM,124.26,10.006,10.561,11.219,59.149,5.815,6.004,6.174,66.197,10.714,10.78,10.994,35.974,50.0,50.0,30.0
IC01477,LOT17,MICROCONTROLLER,122.89,10.256,10.619,10.972,11.326,5.492,5.602,5.886,6.244,10.204,10.225,10.304,10.342,50.0,50.0,30.0
IC00756,LOT16,MIXED_SIGNAL_IC,122.82,10.597,10.69,10.914,11.367,4.421,4.491,4.684,4.944,9.881,9.899,9.976,10.104,50.0,50.0,30.0
IC00734,LOT14,MICROCONTROLLER,127.41,9.746,12.108,20.944,32.138,4.507,6.777,11.667,18.739,10.082,11.266,13.514,17.681,50.0,50.0,30.0
IC00818,LOT18,MIXED_SIGNAL_IC,123.09,10.115,10.37,10.477,10.632,4.717,4.793,5.02,5.219,10.147,10.131,10.226,10.217,50.0,50.0,30.0
IC01984,LOT04,CMOS_LOGIC,124.52,11.463,11.742,11.846,12.213,5.185,5.331,5.525,5.783,10.159,10.218,10.228,10.37,50.0,50.0,30.0
IC00613,LOT13,SRAM,125.94,11.186,11.634,12.025,12.467,5.174,5.393,5.592,5.832,11.573,11.585,11.642,11.727,50.0,50.0,30.0
IC01718,LOT18,MIXED_SIGNAL_IC,126.92,9.441,9.482,9.76,10.139,4.954,5.107,5.302,5.488,9.511,9.588,9.735,9.724,50.0,50.0,30.0
IC00775,LOT15,SRAM,123.46,9.428,9.803,9.88,10.081,4.499,4.647,4.926,5.229,9.611,9.568,9.636,9.76,50.0,50.0,30.0
IC00334,LOT14,SRAM,123.13,8.942,9.373,9.621,64.351,4.961,5.219,5.589,65.362,9.162,9.317,9.424,49.82,50.0,50.0,30.0
IC01118,LOT18,MICROCONTROLLER,124.54,9.721,9.979,10.114,10.326,4.826,4.975,5.121,5.414,9.832,9.909,10.084,10.24,50.0,50.0,30.0
IC00699,LOT19,MICROCONTROLLER,122.59,9.632,9.987,10.463,10.807,5.009,5.169,5.284,5.603,10.051,10.035,10.196,10.34,50.0,50.0,30.0
IC00456,LOT16,SRAM,123.64,9.224,9.738,9.959,9.983,4.882,4.983,5.153,5.382,9.901,9.944,10.068,10.232,50.0,50.0,30.0
IC01131,LOT11,SRAM,122.99,9.279,9.614,9.906,10.137,4.676,4.784,4.977,5.018,9.557,9.605,9.676,9.82,50.0,50.0,30.0
IC01902,LOT02,SRAM,124.97,11.38,11.719,12.028,12.188,5.666,5.903,6.067,6.3,10.455,10.494,10.576,10.822,50.0,50.0,30.0
IC01715,LOT15,MICROCONTROLLER,127.81,9.657,9.987,10.46,10.639,4.77,4.886,5.232,5.464,9.74,9.728,9.887,9.938,50.0,50.0,30.0
IC01488,LOT08,MICROCONTROLLER,123.36,11.276,11.457,11.569,11.931,5.467,5.537,5.716,6.028,10.967,11.074,11.144,11.211,50.0,50.0,30.0
IC00583,LOT03,SRAM,126.77,10.818,10.95,11.225,11.475,5.384,5.433,5.585,5.883,10.139,10.183,10.325,10.321,50.0,50.0,30.0
IC00081,LOT01,CMOS_LOGIC,123.79,9.609,9.865,10.205,10.467,5.096,5.303,5.571,5.714,9.704,9.799,9.82,9.979,50.0,50.0,30.0
IC01369,LOT09,CMOS_LOGIC,125.11,10.502,10.896,10.943,11.256,5.574,5.739,5.954,6.195,10.674,10.75,10.861,10.878,50.0,50.0,30.0
IC01595,LOT15,SRAM,122.99,9.119,9.392,9.84,10.095,5.007,5.121,5.258,5.605,9.471,9.538,9.599,9.627,50.0,50.0,30.0
IC01872,LOT12,MIXED_SIGNAL_IC,125.44,10.771,11.113,11.339,11.709,5.49,5.654,5.904,6.147,11.047,11.04,11.113,11.165,50.0,50.0,30.0
IC01391,LOT11,MICROCONTROLLER,124.09,8.891,9.377,9.819,10.128,4.583,4.714,4.811,5.009,8.713,8.822,8.903,8.977,50.0,50.0,30.0
IC01665,LOT05,SRAM,126.27,9.59,9.709,9.91,10.13,4.135,4.238,4.366,4.658,9.209,9.187,9.223,9.325,50.0,50.0,30.0
IC00469,LOT09,CMOS_LOGIC,126.1,9.978,10.336,10.645,11.097,5.016,5.155,5.4,5.608,10.727,10.735,10.887,11.005,50.0,50.0,30.0
IC01655,LOT15,MIXED_SIGNAL_IC,123.34,9.569,10.169,10.539,10.98,5.102,5.331,5.603,5.75,9.08,9.085,9.193,9.322,50.0,50.0,30.0
IC01705,LOT05,MIXED_SIGNAL_IC,124.55,9.389,9.648,9.971,56.292,5.155,5.325,5.622,64.946,9.159,9.261,9.422,41.868,50.0,50.0,30.0
IC01797,LOT17,MIXED_SIGNAL_IC,127.58,10.03,10.051,10.112,10.396,4.786,4.931,5.134,5.559,9.937,9.964,10.047,10.111,50.0,50.0,30.0
IC01982,LOT02,CMOS_LOGIC,124.75,10.42,10.721,11.095,11.444,5.13,5.309,5.508,5.723,11.299,11.401,11.508,11.599,50.0,50.0,30.0
IC00860,LOT20,CMOS_LOGIC,128.34,9.906,10.268,10.622,10.791,4.977,5.199,5.414,5.676,9.997,10.07,10.099,10.121,50.0,50.0,30.0
IC01332,LOT12,MIXED_SIGNAL_IC,119.52,10.7,10.865,11.033,11.25,5.541,5.689,5.831,6.194,10.491,10.55,10.574,10.751,50.0,50.0,30.0
IC01236,LOT16,MICROCONTROLLER,124.61,9.802,9.945,9.979,10.133,4.98,5.088,5.422,5.637,9.897,9.98,10.089,10.255,50.0,50.0,30.0
IC00311,LOT11,CMOS_LOGIC,128.58,9.427,9.675,9.918,10.001,5.098,5.221,5.389,5.651,9.492,9.62,9.622,9.702,50.0,50.0,30.0
IC00055,LOT15,MIXED_SIGNAL_IC,126.4,9.666,9.84,9.836,10.094,4.705,4.792,4.868,5.179,9.669,9.783,9.831,9.928,50.0,50.0,30.0
IC01610,LOT10,CMOS_LOGIC,122.45,10.422,10.663,10.838,11.24,5.497,5.633,5.858,6.085,10.244,10.341,10.427,10.598,50.0,50.0,30.0
IC01653,LOT13,MIXED_SIGNAL_IC,123.97,10.824,11.056,11.372,11.609,5.117,5.254,5.426,5.721,11.038,11.117,11.28,11.381,50.0,50.0,30.0
IC00151,LOT11,CMOS_LOGIC,125.24,9.622,12.532,18.601,27.7,4.402,5.599,11.599,19.476,9.698,10.252,12.141,15.06,50.0,50.0,30.0
IC01961,LOT01,SRAM,127.46,9.476,9.673,9.928,10.103,4.664,4.797,4.967,5.209,10.173,10.316,10.447,10.541,50.0,50.0,30.0
IC00300,LOT20,CMOS_LOGIC,126.31,9.507,9.721,9.921,10.214,4.946,5.119,5.338,5.691,10.515,10.468,10.453,10.528,50.0,50.0,30.0
IC00994,LOT14,CMOS_LOGIC,120.74,9.508,9.684,9.84,10.285,4.737,4.902,5.145,5.323,9.246,9.178,9.237,9.294,50.0,50.0,30.0
IC01037,LOT17,MIXED_SIGNAL_IC,129.78,9.761,9.973,10.325,10.806,5.272,5.403,5.637,5.817,10.103,10.147,10.191,10.353,50.0,50.0,30.0
IC00667,LOT07,MIXED_SIGNAL_IC,121.77,9.329,9.526,9.875,10.196,4.922,5.103,5.266,5.487,9.126,9.154,9.254,9.337,50.0,50.0,30.0
IC00369,LOT09,CMOS_LOGIC,127.12,10.054,13.905,22.377,32.875,5.049,6.141,11.642,19.759,9.854,11.033,13.24,16.081,50.0,50.0,30.0
IC01931,LOT11,MICROCONTROLLER,129.1,8.845,9.019,9.198,9.324,4.776,4.961,5.057,5.363,9.696,9.758,9.924,10.108,50.0,50.0,30.0
IC01247,LOT07,MIXED_SIGNAL_IC,124.41,10.058,10.351,10.577,10.938,4.627,4.794,5.008,5.335,8.863,8.896,8.998,9.112,50.0,50.0,30.0
IC01206,LOT06,MIXED_SIGNAL_IC,127.85,10.068,10.418,10.846,11.191,4.997,5.134,5.334,5.582,9.98,10.009,10.155,10.269,50.0,50.0,30.0
IC01343,LOT03,MIXED_SIGNAL_IC,124.66,10.055,10.225,10.735,11.139,4.851,4.935,5.068,5.199,10.199,10.243,10.394,10.554,50.0,50.0,30.0
IC00265,LOT05,MIXED_SIGNAL_IC,125.12,9.602,9.809,10.331,53.349,4.706,4.865,5.161,53.047,9.497,9.564,9.754,40.951,50.0,50.0,30.0
IC00854,LOT14,MICROCONTROLLER,125.47,9.514,9.715,9.97,10.28,4.492,4.734,4.961,4.995,9.227,9.287,9.309,9.361,50.0,50.0,30.0
IC01719,LOT19,SRAM,124.84,10.323,10.711,10.955,11.362,4.943,5.267,5.402,5.722,9.689,9.765,9.916,10.062,50.0,50.0,30.0
IC00730,LOT10,MIXED_SIGNAL_IC,123.32,9.338,9.796,10.022,10.075,5.436,5.612,5.901,6.225,10.451,10.474,10.558,10.631,50.0,50.0,30.0
IC01751,LOT11,SRAM,125.84,9.186,9.328,9.619,9.753,4.656,4.856,5.022,5.175,9.614,9.638,9.673,9.778,50.0,50.0,30.0
IC01806,LOT06,SRAM,124.62,9.348,9.8,9.975,10.358,4.695,4.668,4.798,5.133,9.903,9.933,10.005,10.058,50.0,50.0,30.0
IC01417,LOT17,MIXED_SIGNAL_IC,122.97,9.305,9.729,10.398,55.653,4.648,4.923,5.242,72.994,10.014,10.111,10.363,43.685,50.0,50.0,30.0
IC01326,LOT06,MIXED_SIGNAL_IC,126.42,9.471,12.757,19.83,28.309,4.611,7.102,12.736,19.925,9.011,9.944,11.301,14.54,50.0,50.0,30.0
IC01468,LOT08,MIXED_SIGNAL_IC,128.24,10.196,10.589,11.023,11.256,5.397,5.538,5.665,5.861,11.305,11.318,11.346,11.514,50.0,50.0,30.0
IC01078,LOT18,CMOS_LOGIC,126.94,10.642,11.015,11.226,11.744,5.005,5.167,5.344,5.551,10.027,10.04,10.094,10.177,50.0,50.0,30.0
IC00223,LOT03,MIXED_SIGNAL_IC,127.78,10.359,10.604,10.74,11.035,4.962,5.108,5.232,5.411,10.957,10.968,11.01,11.09,50.0,50.0,30.0
IC00589,LOT09,MIXED_SIGNAL_IC,124.71,9.659,10.216,10.447,10.534,4.982,5.084,5.33,5.503,10.344,10.341,10.447,10.571,50.0,50.0,30.0
IC01415,LOT15,MIXED_SIGNAL_IC,125.14,9.455,9.861,10.146,10.499,4.553,4.741,4.955,5.122,9.108,9.166,9.237,9.328,50.0,50.0,30.0
IC01348,LOT08,SRAM,122.19,10.317,12.399,20.102,29.175,4.829,7.314,12.182,18.627,10.442,11.402,13.098,17.148,50.0,50.0,30.0
IC01833,LOT13,CMOS_LOGIC,124.96,10.784,11.037,11.142,11.387,5.411,5.482,5.624,5.905,10.86,11.014,11.163,11.233,50.0,50.0,30.0
IC00132,LOT12,SRAM,124.93,10.648,10.713,11.051,11.454,6.094,6.321,6.554,6.872,10.566,10.69,10.74,10.793,50.0,50.0,30.0
IC00020,LOT20,CMOS_LOGIC,125.17,9.759,10.013,10.277,10.656,4.691,4.936,5.05,5.47,9.696,9.668,9.742,9.871,50.0,50.0,30.0
IC00116,LOT16,MICROCONTROLLER,124.15,9.95,10.294,10.708,11.15,4.298,4.48,4.733,4.968,9.528,9.529,9.613,9.763,50.0,50.0,30.0
IC00496,LOT16,SRAM,123.84,9.904,10.511,10.971,11.268,4.421,4.586,4.742,5.027,9.09,9.111,9.11,9.143,50.0,50.0,30.0
IC00090,LOT10,SRAM,126.05,11.115,11.27,11.456,11.587,5.108,5.263,5.517,5.773,10.853,10.952,11.002,11.114,50.0,50.0,30.0
IC01211,LOT11,MICROCONTROLLER,125.9,9.418,9.738,10.096,68.926,4.579,4.699,5.085,54.453,9.356,9.397,9.576,44.363,50.0,50.0,30.0
IC01829,LOT09,MIXED_SIGNAL_IC,127.49,10.569,10.775,10.931,11.103,5.036,5.18,5.342,5.564,10.898,10.989,11.063,11.144,50.0,50.0,30.0
IC01375,LOT15,CMOS_LOGIC,122.55,9.677,10.048,10.506,62.932,4.768,4.828,5.103,69.829,9.455,9.518,9.819,46.065,50.0,50.0,30.0
IC00619,LOT19,SRAM,125.22,9.881,13.844,20.245,29.548,5.128,6.948,10.603,15.766,9.809,10.971,13.838,16.244,50.0,50.0,30.0
IC01976,LOT16,SRAM,123.82,9.279,9.614,9.749,10.034,4.534,4.591,4.8,5.023,9.624,9.758,9.861,9.914,50.0,50.0,30.0
IC00868,LOT08,MIXED_SIGNAL_IC,124.77,10.262,10.647,10.925,11.232,5.333,5.577,5.823,6.018,10.422,10.469,10.546,10.65,50.0,50.0,30.0
IC00527,LOT07,CMOS_LOGIC,125.42,9.655,9.952,10.492,10.789,4.355,4.522,4.698,4.977,9.067,9.106,9.214,9.353,50.0,50.0,30.0
IC00679,LOT19,MIXED_SIGNAL_IC,126.91,9.657,9.882,10.386,10.863,4.834,5.026,5.2,5.429,9.765,9.83,9.998,10.113,50.0,50.0,30.0
IC00735,LOT15,MICROCONTROLLER,126.53,8.983,9.23,9.343,9.746,4.935,4.971,5.155,5.313,9.018,9.034,9.086,9.252,50.0,50.0,30.0
IC00350,LOT10,CMOS_LOGIC,125.66,10.924,11.269,11.354,11.48,5.009,5.182,5.351,5.528,10.204,10.278,10.325,10.412,50.0,50.0,30.0
IC00952,LOT12,CMOS_LOGIC,127.01,11.455,11.705,12.04,12.319,5.575,5.653,5.949,6.112,10.769,10.815,10.908,11.031,50.0,50.0,30.0
IC01892,LOT12,SRAM,124.24,10.165,10.686,10.989,11.438,5.638,5.825,5.996,6.125,11.162,11.202,11.237,11.389,50.0,50.0,30.0
IC01562,LOT02,SRAM,124.94,10.8,11.175,11.427,11.883,5.198,5.282,5.456,5.73,9.68,9.78,9.87,9.935,50.0,50.0,30.0
IC00741,LOT01,SRAM,122.64,10.142,10.379,10.601,10.713,5.139,5.164,5.338,5.595,10.085,10.142,10.255,10.508,50.0,50.0,30.0
IC00204,LOT04,CMOS_LOGIC,128.32,9.998,10.228,10.474,10.665,5.264,5.358,5.511,5.785,9.541,9.584,9.574,9.568,50.0,50.0,30.0
